Allegro Report
C:/tempPCBDir/9c0d5618749ef6f59795ca09fdc2e18d/HQBrdTmp.brd
Tue Oct  5 09:21:15 2021

SYM_NAME,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_CLASS,QUANTITY,REFDES
1_25_PWT_2P,CON4_1_25_PWT_2P_CON4,CON4,,IC,1,J2
BUTTON_2P_SMD,BUTTON-2P_BUTTON_2P_SMD_BOOT,BOOT,,IC,1,KEY1
BUTTON_2P_SMD,BUTTON-2P_BUTTON_2P_SMD_RESET,RESET,,IC,1,KEY2
C0603,CAP NP_C0603_0.1UF/25V,0.1uF/25V,,IC,7,C1;C5;C7;C9;C12;C20;C21
C0603,CAP NP_C0603_1UF/6.3V,1uF/6.3V,,IC,1,C2
C0603,CAP NP_C0603_1UF/25V,1uF/25V,,IC,9,C3;C6;C10;C11;C13;C14;C15;C22;C23
C0805,CAP NP_C0805_4.7UF/25V,4.7uF/25V,,IC,2,C16;C17
C0805,CAP NP_C0805_10UF/25V,10uF/25V,,IC,2,C18;C19
ESP8266,ESP8266_ESP8266_ESP8266,ESP8266,,IC,1,U1
FPC_0R5_2H_WS_24P_M,CON24_FPC_0R5_2H_WS_24P_M_FPC-2,FPC-24P,,IC,1,J1
LED0603,LED_LED0603_LED,LED,,IC,1,D1
R0603,R_R0603_510R,510R,,IC,1,R1
R0603,R_R0603_4.7K,4.7k,,IC,2,R2;R8
R0603,R_R0603_1R,1R,,IC,1,R3
R0603,R_R0603_10K,10k,,IC,6,R4;R5;R6;R7;R12;R17
R0603,R_R0603_47K,47k,,IC,1,R9
R0603,R_R0603_0R,0R,,IC,1,R10
R0603,R_R0603_NC,NC,,IC,1,R11
R0603,R_R0603_10K/NC,10k/NC,,IC,1,R14
R0603,R_R0603_300R,300R,,IC,2,R15;R16
R0805,R_R0805_0.47R,0.47R,,IC,1,R13
SK-12D02-VG3,SPDT-SW_SK-12D02-VG3_SPDT-SW,SPDT-SW,,IC,1,SW1
SM3521,INDUCTANCE_SM3521_10UH/1A,10uH/1A,,IC,1,L1
SOD123,DIADO_SOD123_MBR0530,MBR0530,,IC,3,D4;D5;D6
SOD323,DIADO_SOD323_SD103AWS-G,SD103AWS-G,,IC,2,D2;D3
SOIC-8,W25Q64_0_SOIC-8_GT21L16S2W,GT21L16S2W,,IC,1,U4
SOIC-16,CH340G_SOIC-16_CH340C,CH340C,,IC,1,U5
SOT23,MOS_N_CHAN_SOT23_SI1308EDL,Si1308EDL,,IC,1,Q1
SOT23-5,CYT5026_SOT23-5_CYT5026,CYT5026,,IC,1,U2
SOT23-5,XC6228D332VR-G_SOT23-5_XC6228D3,XC6228D332VR-G,,IC,1,U3
TA3216,CAP TAC_TA3216_22UF/10V,22uF/10V,,IC,2,C4;C8
USB-MICRO-5P,USB_MICRO_USB-MICRO-5P_USB_MICR,USB_MICRO,,IC,1,USB1
