Component Report
C:/tempPCBDir/9c0d5618749ef6f59795ca09fdc2e18d/HQBrdTmp.brd
Tue Oct  5 09:21:16 2021
Total Components:  59
REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
C1,CAP NP_C0603_0.1UF/25V,0.1uF/25V,,C0603,1725.00,1160.00,270.000,NO
C2,CAP NP_C0603_1UF/6.3V,1uF/6.3V,,C0603,1675.00,1160.00,270.000,NO
C3,CAP NP_C0603_1UF/25V,1uF/25V,,C0603,2900.00,865.00,180.000,NO
C4,CAP TAC_TA3216_22UF/10V,22uF/10V,,TA3216,1800.00,965.00,270.000,NO
C5,CAP NP_C0603_0.1UF/25V,0.1uF/25V,,C0603,1875.00,965.00,270.000,NO
C6,CAP NP_C0603_1UF/25V,1uF/25V,,C0603,2695.00,895.00,270.000,NO
C7,CAP NP_C0603_0.1UF/25V,0.1uF/25V,,C0603,2250.00,965.00,270.000,NO
C8,CAP TAC_TA3216_22UF/10V,22uF/10V,,TA3216,2175.00,960.00,270.000,NO
C9,CAP NP_C0603_0.1UF/25V,0.1uF/25V,,C0603,2065.00,1340.00,180.000,NO
C10,CAP NP_C0603_1UF/25V,1uF/25V,,C0603,2690.00,1855.00,180.000,NO
C11,CAP NP_C0603_1UF/25V,1uF/25V,,C0603,2690.00,1545.00,0.000,NO
C12,CAP NP_C0603_0.1UF/25V,0.1uF/25V,,C0603,2690.00,1595.00,0.000,NO
C13,CAP NP_C0603_1UF/25V,1uF/25V,,C0603,2690.00,1445.00,0.000,NO
C14,CAP NP_C0603_1UF/25V,1uF/25V,,C0603,2690.00,1325.00,0.000,NO
C15,CAP NP_C0603_1UF/25V,1uF/25V,,C0603,2690.00,1205.00,0.000,NO
C16,CAP NP_C0805_4.7UF/25V,4.7uF/25V,,C0805,2825.00,2025.00,270.000,NO
C17,CAP NP_C0805_4.7UF/25V,4.7uF/25V,,C0805,2505.00,2190.00,180.000,NO
C18,CAP NP_C0805_10UF/25V,10uF/25V,,C0805,2690.00,1265.00,0.000,NO
C19,CAP NP_C0805_10UF/25V,10uF/25V,,C0805,2690.00,1385.00,0.000,NO
C20,CAP NP_C0603_0.1UF/25V,0.1uF/25V,,C0603,1140.00,1110.00,90.000,NO
C21,CAP NP_C0603_0.1UF/25V,0.1uF/25V,,C0603,1090.00,2145.00,0.000,NO
C22,CAP NP_C0603_1UF/25V,1uF/25V,,C0603,2690.00,1905.00,180.000,NO
C23,CAP NP_C0603_1UF/25V,1uF/25V,,C0603,2690.00,1495.00,180.000,NO
D1,LED_LED0603_LED,LED,,LED0603,2765.00,1085.00,0.000,NO
D2,DIADO_SOD323_SD103AWS-G,SD103AWS-G,,SOD323,1685.00,990.00,0.000,NO
D3,DIADO_SOD323_SD103AWS-G,SD103AWS-G,,SOD323,1685.00,1045.00,0.000,NO
D4,DIADO_SOD123_MBR0530,MBR0530,,SOD123,2465.00,2025.00,90.000,NO
D5,DIADO_SOD123_MBR0530,MBR0530,,SOD123,2390.00,2025.00,270.000,NO
D6,DIADO_SOD123_MBR0530,MBR0530,,SOD123,2540.00,2025.00,270.000,NO
J1,CON24_FPC_0R5_2H_WS_24P_M_FPC-2,FPC-24P,,FPC_0R5_2H_WS_24P_M,2970.00,1600.00,90.000,NO
J2,CON4_1_25_PWT_2P_CON4,CON4,,1_25_PWT_2P,2473.00,1038.00,180.000,NO
KEY1,BUTTON-2P_BUTTON_2P_SMD_BOOT,BOOT,,BUTTON_2P_SMD,1550.00,2255.00,0.000,NO
KEY2,BUTTON-2P_BUTTON_2P_SMD_RESET,RESET,,BUTTON_2P_SMD,1085.00,2255.00,0.000,NO
L1,INDUCTANCE_SM3521_10UH/1A,10uH/1A,,SM3521,2685.00,2025.00,180.000,NO
Q1,MOS_N_CHAN_SOT23_SI1308EDL,Si1308EDL,,SOT23,2675.00,2190.00,90.000,NO
R1,R_R0603_510R,510R,,R0603,2765.00,1140.00,180.000,NO
R2,R_R0603_4.7K,4.7k,,R0603,2895.00,1085.00,0.000,NO
R3,R_R0603_1R,1R,,R0603,2785.00,865.00,0.000,NO
R4,R_R0603_10K,10k,,R0603,1650.00,2035.00,90.000,NO
R5,R_R0603_10K,10k,,R0603,1305.00,1190.00,0.000,NO
R6,R_R0603_10K,10k,,R0603,1575.00,2035.00,90.000,NO
R7,R_R0603_10K,10k,,R0603,1490.00,2035.00,90.000,NO
R8,R_R0603_4.7K,4.7k,,R0603,1360.00,2035.00,270.000,NO
R9,R_R0603_47K,47k,,R0603,1310.00,2035.00,90.000,NO
R10,R_R0603_0R,0R,,R0603,2690.00,1805.00,0.000,NO
R11,R_R0603_NC,NC,,R0603,2690.00,1755.00,0.000,NO
R12,R_R0603_10K,10k,,R0603,2815.00,2165.00,180.000,NO
R13,R_R0805_0.47R,0.47R,,R0805,2815.00,2245.00,180.000,NO
R14,R_R0603_10K/NC,10k/NC,,R0603,2815.00,2305.00,180.000,NO
R15,R_R0603_300R,300R,,R0603,1090.00,1995.00,180.000,NO
R16,R_R0603_300R,300R,,R0603,1090.00,2045.00,180.000,NO
R17,R_R0603_10K,10k,,R0603,1090.00,2095.00,180.000,NO
SW1,SPDT-SW_SK-12D02-VG3_SPDT-SW,SPDT-SW,,SK-12D02-VG3,1975.00,2245.00,180.000,NO
U1,ESP8266_ESP8266_ESP8266,ESP8266,,ESP8266,1730.00,1903.00,270.000,NO
U2,CYT5026_SOT23-5_CYT5026,CYT5026,,SOT23-5,2840.00,975.00,270.000,NO
U3,XC6228D332VR-G_SOT23-5_XC6228D3,XC6228D332VR-G,,SOT23-5,2015.00,970.00,270.000,NO
U4,W25Q64_0_SOIC-8_GT21L16S2W,GT21L16S2W,,SOIC-8,2010.00,1585.00,270.000,NO
U5,CH340G_SOIC-16_CH340C,CH340C,,SOIC-16,1200.00,875.00,90.000,NO
USB1,USB_MICRO_USB-MICRO-5P_USB_MICR,USB_MICRO,,USB-MICRO-5P,995.00,1085.00,270.000,NO
